Col_1	Col_2	Col_3	Col_4	Col_5	Col_6	Col_7	Col_8	Col_9	Col_10	Col_11	Col_12	Col_13	Col_14	Col_15	Col_16	Col_17	Col_18	Col_19	Col_20	Col_21	Col_22	Col_23	Col_24	Col_25	Col_26	Col_27	Col_28	Col_29	Col_30	Col_31	Col_32	Col_33	Col_34	Col_35	Col_36	Col_37	Col_38	Col_39	Col_40	Col_41	Col_42	Col_43	Col_44	Col_45	Col_46	Col_47	Col_48	Col_49	Col_50
49	73	4	32	58	28	67	17	60	78	72	33	16	85	18	36	46	7	11	57	90	20	32	15	32	56	79	60	35	76	74	45	19	30	100	85	50	38	32	11	18	54	38	79	41	17	68	74	11	84
3	51	4	8	96	35	22	39	39	94	32	17	13	55	28	35	100	31	9	11	54	50	93	16	42	19	52	41	58	64	32	80	19	5	67	52	55	2	43	84	10	59	93	43	72	15	53	24	11	87
2	93	84	13	96	53	55	6	23	45	57	65	52	79	84	80	50	44	26	7	75	22	23	61	88	32	86	29	24	7	23	10	100	92	63	73	72	53	67	67	95	7	71	11	50	1	4	16	31	44
22	72	97	84	68	9	41	36	84	8	8	89	72	95	75	43	13	22	90	77	35	50	10	91	23	28	99	33	63	27	82	27	28	91	98	45	26	44	52	79	88	46	7	33	81	25	65	95	46	4
44	51	40	88	73	68	34	2	30	98	71	15	89	48	53	32	78	9	42	84	35	58	12	29	100	58	26	50	91	73	67	77	84	66	59	43	54	65	1	13	99	17	63	14	55	39	50	23	59	86
81	3	0	23	34	32	49	63	0	12	48	6	16	38	26	79	34	53	66	88	87	24	77	30	65	99	79	50	82	1	40	32	39	66	43	28	20	83	33	9	22	38	35	77	37	63	21	12	46	19
28	36	94	82	88	36	7	3	60	71	0	36	97	58	76	3	75	70	31	10	69	47	42	98	59	28	70	63	29	66	78	39	59	10	19	99	71	68	58	1	66	97	6	51	9	6	11	22	83	83
19	63	98	81	84	76	0	92	1	30	69	9	75	61	59	21	76	73	48	57	73	12	36	76	66	83	0	36	88	55	17	35	86	24	3	84	9	16	42	71	88	82	25	16	61	31	76	19	96	87
30	76	1	11	25	50	34	44	90	56	45	76	97	47	11	3	69	85	33	39	16	57	85	10	53	54	83	12	89	33	45	77	53	87	77	64	22	12	98	58	52	96	45	49	83	3	42	50	71	62
99	38	55	42	93	63	94	51	4	15	35	16	60	50	30	74	9	3	59	74	58	48	71	65	98	1	46	25	17	71	1	21	36	100	80	9	18	77	48	97	25	19	4	91	90	81	55	27	27	24
93	9	71	10	37	1	54	84	41	35	53	24	74	45	15	7	27	36	6	41	19	32	37	88	39	73	13	9	80	18	75	13	45	43	39	20	26	70	10	99	26	21	70	36	63	3	76	36	81	77
38	78	91	22	10	2	95	33	40	32	82	99	81	9	61	86	89	4	26	63	36	62	61	49	3	41	22	25	23	73	46	72	49	54	48	79	50	11	62	64	80	12	73	19	35	87	0	100	0	42
61	98	12	54	46	9	92	76	72	18	19	57	59	32	63	93	42	64	65	58	40	43	50	73	72	20	13	17	88	28	48	58	94	96	43	78	88	62	70	78	40	6	56	23	99	82	98	70	70	34
75	4	90	82	67	21	84	68	33	66	86	86	57	98	6	33	52	7	97	41	50	97	79	23	36	88	77	36	26	25	0	83	34	48	27	2	50	90	29	27	13	46	25	30	65	25	71	77	42	19
28	36	76	49	91	1	81	17	99	28	63	46	18	48	90	64	13	9	54	5	91	12	38	37	6	72	93	67	71	13	24	72	81	84	37	38	85	30	95	83	93	3	42	66	25	51	92	26	65	97
26	27	97	100	12	31	52	75	92	18	50	7	7	92	2	42	12	79	61	85	23	11	10	75	49	68	15	64	55	58	22	18	45	30	75	56	23	83	94	62	87	44	73	44	62	33	17	67	65	17
79	70	31	76	4	30	41	100	55	65	83	75	67	35	61	18	33	33	40	21	53	54	93	59	33	62	45	45	5	31	77	63	58	51	36	14	31	20	71	70	42	10	92	26	60	27	37	5	79	59
89	72	11	74	82	49	50	10	81	81	78	86	92	13	57	36	59	80	89	36	9	95	85	38	55	19	15	9	84	17	65	39	20	51	34	47	78	45	12	94	49	73	64	99	18	62	44	95	26	99
44	5	87	97	54	99	93	19	64	75	79	70	6	35	44	1	85	63	83	42	11	49	16	69	50	15	85	84	97	37	45	70	45	74	18	49	15	89	26	90	77	79	26	5	9	73	23	75	56	40
60	38	39	1	93	38	68	69	86	42	33	16	53	27	99	2	34	95	74	69	44	52	54	1	40	31	38	58	28	90	99	22	56	60	47	37	88	29	96	14	31	96	39	21	41	17	94	67	37	44
75	72	63	38	49	27	69	49	12	58	27	90	93	27	42	74	42	23	0	8	43	53	51	100	100	1	35	28	34	8	51	42	60	14	90	66	50	11	19	94	61	35	13	38	37	4	28	0	18	37
91	31	23	50	62	62	23	87	6	98	5	80	19	99	1	52	30	25	94	28	53	83	31	48	92	13	36	32	62	79	79	57	96	55	27	84	90	8	70	67	21	46	54	24	27	12	38	95	29	38
24	69	32	53	28	35	60	84	35	35	50	46	0	0	87	34	43	96	26	68	28	41	9	83	20	74	45	91	65	26	44	63	21	74	92	22	12	95	3	61	21	21	29	92	3	21	56	80	0	59
65	54	0	73	41	8	97	80	53	99	91	15	58	19	97	48	9	34	65	70	83	0	72	55	29	22	70	1	64	25	55	30	64	17	78	97	9	2	90	18	56	88	50	76	57	66	86	97	38	64
96	91	87	91	67	52	80	35	52	82	96	0	28	37	54	4	95	63	46	69	82	52	39	42	66	96	7	85	41	38	34	70	82	94	95	23	13	71	75	16	57	78	51	88	14	36	25	71	95	83
81	58	94	75	32	98	100	33	22	95	8	17	81	2	6	32	44	64	67	72	90	7	2	80	72	31	87	30	40	56	69	28	65	96	33	38	42	71	5	16	76	96	88	22	28	19	75	18	69	16
57	15	45	100	96	62	45	23	15	39	51	10	83	31	41	71	56	55	40	48	4	57	35	94	25	63	12	96	52	79	94	71	95	1	79	59	98	65	22	71	31	34	81	96	83	70	97	20	33	14
2	8	98	19	100	53	75	0	47	18	44	39	22	19	72	66	52	21	47	38	20	36	29	53	73	86	74	21	31	53	54	4	21	57	70	1	26	41	22	28	8	64	71	28	14	38	58	14	27	51
61	62	18	92	60	80	59	69	9	43	44	31	78	36	90	19	11	86	5	47	28	79	44	75	98	78	17	71	16	66	7	35	96	33	24	56	74	51	72	34	79	98	6	46	85	77	18	83	70	27
33	87	47	68	7	95	61	38	56	39	84	85	32	88	65	39	49	68	1	91	35	99	23	11	83	17	9	98	100	42	19	68	94	24	86	27	88	32	31	36	50	38	80	84	100	28	17	66	71	9
